Datum;Tijd;Maanfase;Hoogwater/laagwater;Meting
19/07/2020; 12:44; ; LW; 13.0 cm;
19/07/2020; 04:14; ; HW; 89.0 cm;
19/07/2020; 00:34; ; LW; 11.0 cm;
18/07/2020; 15:54; ; HW; 88.0 cm;
18/07/2020; 11:34; ; LW; 11.0 cm;
18/07/2020; 03:30; ; HW; 84.0 cm;
17/07/2020; 23:42; ; LW; 13.0 cm;
17/07/2020; 15:19; ; HW; 85.0 cm;
17/07/2020; 10:28; ; LW; 9.0 cm;
17/07/2020; 02:37; ; HW; 78.0 cm;
16/07/2020; 21:07; ; LW; 16.0 cm;
16/07/2020; 14:29; ; HW; 80.0 cm;
16/07/2020; 09:25; ; LW; 6.0 cm;
16/07/2020; 01:25; ; HW; 74.0 cm;
15/07/2020; 21:05; ; LW; 16.0 cm;
15/07/2020; 13:18; ; HW; 78.0 cm;
15/07/2020; 08:35; ; LW; 4.0 cm;
15/07/2020; 00:15; ; HW; 74.0 cm;
14/07/2020; 20:15; ; LW; 17.0 cm;
14/07/2020; 12:08; ; HW; 79.0 cm;
14/07/2020; 07:49; ; LW; 3.0 cm;
13/07/2020; 23:29; ; HW; 77.0 cm;
13/07/2020; 19:39; ; LW; 18.0 cm;
13/07/2020; 11:14; ; HW; 83.0 cm;
13/07/2020; 07:05; ; LW; 2.0 cm;
12/07/2020; 22:25; Laatste Kwartier 02:29; HW; 81.0 cm;
12/07/2020; 18:58; ; LW; 19.0 cm;
12/07/2020; 10:27; ; HW; 87.0 cm;
12/07/2020; 06:29; ; LW; 2.0 cm;
11/07/2020; 21:54; ; HW; 84.0 cm;
11/07/2020; 18:24; ; LW; 19.0 cm;
11/07/2020; 09:43; ; HW; 91.0 cm;
11/07/2020; 05:49; ; LW; 2.0 cm;
10/07/2020; 20:59; ; HW; 87.0 cm;
10/07/2020; 17:40; ; LW; 19.0 cm;
10/07/2020; 08:50; ; HW; 95.0 cm;
10/07/2020; 05:07; ; LW; 3.0 cm;
09/07/2020; 20:14; ; HW; 88.0 cm;
09/07/2020; 17:19; ; LW; 20.0 cm;
09/07/2020; 07:59; ; HW; 97.0 cm;
09/07/2020; 04:01; ; LW; 5.0 cm;
08/07/2020; 19:34; ; HW; 89.0 cm;
08/07/2020; 16:59; ; LW; 20.0 cm;
08/07/2020; 07:13; ; HW; 97.0 cm;
08/07/2020; 03:18; ; LW; 7.0 cm;
07/07/2020; 18:59; ; HW; 89.0 cm;
07/07/2020; 16:25; ; LW; 18.0 cm;
07/07/2020; 06:25; ; HW; 96.0 cm;
07/07/2020; 02:28; ; LW; 10.0 cm;
06/07/2020; 18:19; ; HW; 89.0 cm;
06/07/2020; 15:45; ; LW; 16.0 cm;
06/07/2020; 05:44; ; HW; 94.0 cm;
06/07/2020; 01:44; Volle Maan 07:44; LW; 12.0 cm;
05/07/2020; 17:33; ; HW; 90.0 cm;
05/07/2020; 14:56; ; LW; 15.0 cm;
05/07/2020; 04:55; ; HW; 92.0 cm;
05/07/2020; 01:02; ; LW; 14.0 cm;
04/07/2020; 16:45; ; HW; 90.0 cm;
04/07/2020; 13:37; ; LW; 13.0 cm;
04/07/2020; 04:09; ; HW; 90.0 cm;
04/07/2020; 00:34; ; LW; 13.0 cm;
03/07/2020; 15:45; ; HW; 90.0 cm;
03/07/2020; 12:14; ; LW; 8.0 cm;
03/07/2020; 03:15; ; HW; 87.0 cm;
02/07/2020; 23:52; ; LW; 13.0 cm;
02/07/2020; 14:55; ; HW; 90.0 cm;
02/07/2020; 11:14; ; LW; 5.0 cm;
02/07/2020; 02:25; ; HW; 84.0 cm;
01/07/2020; 23:00; ; LW; 14.0 cm;
01/07/2020; 13:54; ; HW; 89.0 cm;
01/07/2020; 10:09; ; LW; 3.0 cm;
