Datum;Tijd;Maanfase;Hoogwater/laagwater;Meting
31/10/2020; 17:24; Volle Maan 16:49; HW; 98.0 cm;
31/10/2020; 14:10; ; LW; 26.0 cm;
31/10/2020; 05:14; ; HW; 104.0 cm;
31/10/2020; 02:10; ; LW; 19.0 cm;
30/10/2020; 17:00; ; HW; 95.0 cm;
30/10/2020; 13:22; ; LW; 24.0 cm;
30/10/2020; 04:48; ; HW; 102.0 cm;
30/10/2020; 01:23; ; LW; 14.0 cm;
29/10/2020; 16:49; ; HW; 93.0 cm;
29/10/2020; 12:42; ; LW; 21.0 cm;
29/10/2020; 04:14; ; HW; 100.0 cm;
29/10/2020; 00:34; ; LW; 12.0 cm;
28/10/2020; 16:00; ; HW; 89.0 cm;
28/10/2020; 12:08; ; LW; 20.0 cm;
28/10/2020; 03:26; ; HW; 96.0 cm;
27/10/2020; 23:28; ; LW; 14.0 cm;
27/10/2020; 15:04; ; HW; 83.0 cm;
27/10/2020; 11:09; ; LW; 23.0 cm;
27/10/2020; 02:37; ; HW; 90.0 cm;
26/10/2020; 21:14; ; LW; 17.0 cm;
26/10/2020; 13:50; ; HW; 76.0 cm;
26/10/2020; 09:37; ; LW; 27.0 cm;
26/10/2020; 01:08; ; HW; 86.0 cm;
25/10/2020; 19:57; ; LW; 18.0 cm;
25/10/2020; 12:34; ; HW; 75.0 cm;
25/10/2020; 08:16; ; LW; 28.0 cm;
24/10/2020; 23:50; ; HW; 89.0 cm;
24/10/2020; 19:06; ; LW; 19.0 cm;
24/10/2020; 11:10; ; HW; 80.0 cm;
24/10/2020; 07:28; ; LW; 27.0 cm;
23/10/2020; 22:34; Eerste Kwartier 16:23; HW; 94.0 cm;
23/10/2020; 18:07; ; LW; 20.0 cm;
23/10/2020; 09:50; ; HW; 88.0 cm;
23/10/2020; 06:51; ; LW; 25.0 cm;
22/10/2020; 21:14; ; HW; 100.0 cm;
22/10/2020; 17:27; ; LW; 22.0 cm;
22/10/2020; 08:45; ; HW; 95.0 cm;
22/10/2020; 06:10; ; LW; 21.0 cm;
21/10/2020; 20:15; ; HW; 105.0 cm;
21/10/2020; 16:31; ; LW; 25.0 cm;
21/10/2020; 08:03; ; HW; 102.0 cm;
21/10/2020; 05:36; ; LW; 18.0 cm;
20/10/2020; 19:35; ; HW; 108.0 cm;
20/10/2020; 17:15; ; LW; 27.0 cm;
20/10/2020; 07:14; ; HW; 108.0 cm;
20/10/2020; 04:55; ; LW; 16.0 cm;
19/10/2020; 18:48; ; HW; 109.0 cm;
19/10/2020; 16:41; ; LW; 26.0 cm;
19/10/2020; 06:32; ; HW; 111.0 cm;
19/10/2020; 04:11; ; LW; 16.0 cm;
18/10/2020; 18:09; ; HW; 108.0 cm;
18/10/2020; 15:56; ; LW; 26.0 cm;
18/10/2020; 05:49; ; HW; 113.0 cm;
18/10/2020; 03:27; ; LW; 18.0 cm;
17/10/2020; 17:29; ; HW; 105.0 cm;
17/10/2020; 15:15; ; LW; 25.0 cm;
17/10/2020; 05:05; ; HW; 111.0 cm;
17/10/2020; 02:29; ; LW; 19.0 cm;
16/10/2020; 16:49; Nieuwe Maan 22:31; HW; 101.0 cm;
16/10/2020; 14:19; ; LW; 24.0 cm;
16/10/2020; 04:25; ; HW; 108.0 cm;
16/10/2020; 00:57; ; LW; 17.0 cm;
15/10/2020; 16:09; ; HW; 95.0 cm;
15/10/2020; 13:10; ; LW; 22.0 cm;
15/10/2020; 03:49; ; HW; 103.0 cm;
14/10/2020; 23:58; ; LW; 16.0 cm;
14/10/2020; 15:24; ; HW; 88.0 cm;
14/10/2020; 11:52; ; LW; 21.0 cm;
14/10/2020; 02:54; ; HW; 95.0 cm;
13/10/2020; 22:32; ; LW; 18.0 cm;
13/10/2020; 14:27; ; HW; 80.0 cm;
13/10/2020; 10:28; ; LW; 24.0 cm;
13/10/2020; 01:58; ; HW; 87.0 cm;
12/10/2020; 21:29; ; LW; 20.0 cm;
12/10/2020; 13:19; ; HW; 75.0 cm;
12/10/2020; 08:56; ; LW; 25.0 cm;
12/10/2020; 00:40; ; HW; 83.0 cm;
11/10/2020; 19:58; ; LW; 20.0 cm;
11/10/2020; 11:48; ; HW; 78.0 cm;
11/10/2020; 07:38; ; LW; 24.0 cm;
10/10/2020; 22:47; Laatste Kwartier 03:39; HW; 86.0 cm;
10/10/2020; 18:58; ; LW; 20.0 cm;
10/10/2020; 10:07; ; HW; 87.0 cm;
10/10/2020; 06:27; ; LW; 23.0 cm;
09/10/2020; 21:43; ; HW; 96.0 cm;
09/10/2020; 18:04; ; LW; 20.0 cm;
09/10/2020; 09:15; ; HW; 95.0 cm;
09/10/2020; 05:56; ; LW; 23.0 cm;
08/10/2020; 20:59; ; HW; 101.0 cm;
08/10/2020; 17:28; ; LW; 22.0 cm;
08/10/2020; 08:43; ; HW; 98.0 cm;
08/10/2020; 04:53; ; LW; 23.0 cm;
07/10/2020; 20:22; ; HW; 102.0 cm;
07/10/2020; 16:42; ; LW; 24.0 cm;
07/10/2020; 08:05; ; HW; 98.0 cm;
07/10/2020; 04:33; ; LW; 22.0 cm;
06/10/2020; 19:55; ; HW; 101.0 cm;
06/10/2020; 16:38; ; LW; 25.0 cm;
06/10/2020; 07:44; ; HW; 99.0 cm;
06/10/2020; 04:28; ; LW; 21.0 cm;
05/10/2020; 19:25; ; HW; 102.0 cm;
05/10/2020; 16:02; ; LW; 26.0 cm;
05/10/2020; 07:14; ; HW; 102.0 cm;
05/10/2020; 04:02; ; LW; 20.0 cm;
04/10/2020; 18:50; ; HW; 102.0 cm;
04/10/2020; 16:00; ; LW; 27.0 cm;
04/10/2020; 06:44; ; HW; 104.0 cm;
04/10/2020; 03:51; ; LW; 20.0 cm;
03/10/2020; 18:24; ; HW; 99.0 cm;
03/10/2020; 15:28; ; LW; 28.0 cm;
03/10/2020; 06:09; ; HW; 104.0 cm;
03/10/2020; 03:26; ; LW; 18.0 cm;
02/10/2020; 18:03; ; HW; 97.0 cm;
02/10/2020; 15:16; ; LW; 26.0 cm;
02/10/2020; 05:36; ; HW; 102.0 cm;
02/10/2020; 02:51; ; LW; 13.0 cm;
01/10/2020; 17:58; Volle Maan 00:05; HW; 95.0 cm;
01/10/2020; 14:41; ; LW; 20.0 cm;
01/10/2020; 05:21; ; HW; 101.0 cm;
01/10/2020; 02:06; ; LW; 9.0 cm;
30/09/2020; 17:19; ; HW; 93.0 cm;
30/09/2020; 14:05; ; LW; 16.0 cm;
30/09/2020; 05:02; ; HW; 100.0 cm;
30/09/2020; 01:15; ; LW; 8.0 cm;
29/09/2020; 16:30; ; HW; 90.0 cm;
29/09/2020; 13:05; ; LW; 15.0 cm;
29/09/2020; 04:14; ; HW; 96.0 cm;
28/09/2020; 23:59; ; LW; 11.0 cm;
28/09/2020; 15:38; ; HW; 83.0 cm;
28/09/2020; 11:49; ; LW; 18.0 cm;
28/09/2020; 02:58; ; HW; 89.0 cm;
27/09/2020; 22:34; ; LW; 17.0 cm;
27/09/2020; 14:28; ; HW; 76.0 cm;
27/09/2020; 10:17; ; LW; 22.0 cm;
